0.55778,0.53373,0.62943,0.49741,0.56933,0.39276,0.61476,0.46623,0.67843,0.509,0.50426,0.47559,0.62598,0.55624,0.69349,0.50219,0.55822,0.45397
0.61677,0.51433,0.72075,0.5183,0.56488,0.49206,0.57547,0.53279,0.55782,0.56371,0.47997,0.51107,0.56531,0.54145,0.55786,0.5072,0.49616,0.56201
0.527,0.41742,0.65401,0.51967,0.47824,0.54277,0.48944,0.46123,0.64128,0.54488,0.50491,0.52075,0.53935,0.45147,0.66016,0.56077,0.49981,0.48394
0.50777,0.39642,0.41828,0.46774,0.44786,0.6776,0.63069,0.60446,0.545,0.53881,0.4218,0.47855,0.62596,0.49298,0.54347,0.51349,0.51733,0.519
0.56656,0.50273,0.58496,0.44266,0.58643,0.58413,0.55177,0.49821,0.74037,0.54833,0.49135,0.56898,0.50991,0.47741,0.6735,0.56352,0.45633,0.52709
0.57141,0.39816,0.71409,0.45583,0.576,0.49156,0.45274,0.4675,0.72504,0.49119,0.53096,0.49684,0.52889,0.48937,0.72887,0.54135,0.5427,0.46392
0.58024,0.54971,0.56171,0.46534,0.52027,0.52542,0.51682,0.44466,0.72061,0.52635,0.49998,0.49722,0.57279,0.45607,0.68602,0.47047,0.46448,0.47803
0.45434,0.39542,0.6025,0.47944,0.57069,0.43204,0.47439,0.53981,0.68393,0.48931,0.50608,0.49811,0.52412,0.52516,0.68348,0.47512,0.52001,0.48839
0.60568,0.50343,0.67142,0.50819,0.54563,0.59407,0.5049,0.46229,0.60536,0.50955,0.53254,0.529,0.56646,0.50249,0.65679,0.56251,0.49022,0.57751
0.48171,0.54813,0.61747,0.504,0.60277,0.48521,0.44215,0.50407,0.50756,0.49157,0.48443,0.48565,0.44864,0.56493,0.63019,0.46693,0.5882,0.52345
